key,ts,value
battery_level,1449455052.85,100
battery_level,1449456834.88,100
battery_level,1449459361.08,100
battery_level,1449461149.28,100
battery_level,1449463172.35,100
battery_level,1449502612.64,98
battery_level,1449504947.93,97
battery_level,1449506598.41,97
battery_level,1449508429.61,96
battery_level,1449510495.65,96
battery_level,1449512177.25,95
battery_level,1449514064.15,95
battery_level,1449515845.19,95
battery_level,1449518038.44,94
battery_level,1449520282.41,94
battery_level,1449522450.87,92
battery_level,1449524619.61,92
battery_level,1449525983.64,91
battery_level,1449528331.36,91
battery_level,1449530984.92,90
battery_level,1449531975.09,90
battery_level,1449534558.36,88
battery_level,1449536161.68,87
battery_level,1449537347.38,86
battery_level,1449539874.46,84
battery_level,1449543693.87,84
