key,ts,value
battery_level,1449455052.85,100
battery_level,1449456834.88,100
battery_level,1449459361.08,99
battery_level,1449461149.28,98
battery_level,1449463172.35,97
battery_level,1449502612.64,90
battery_level,1449504947.93,90
battery_level,1449506598.41,88
battery_level,1449508429.61,88
battery_level,1449510495.65,87
battery_level,1449512177.25,87
battery_level,1449514064.15,87
battery_level,1449515845.19,87
battery_level,1449518038.44,86
battery_level,1449520282.41,85
battery_level,1449522450.87,84
battery_level,1449524619.61,84
battery_level,1449525983.64,84
battery_level,1449528331.36,83
battery_level,1449530984.92,82
battery_level,1449531975.09,81
battery_level,1449534558.36,79
battery_level,1449536161.68,78
battery_level,1449537347.38,78
battery_level,1449539874.46,77
battery_level,1449543693.87,76
