key,ts,value
battery_level,1449344421.21,100
battery_level,1449346058.27,100
battery_level,1449347445.17,100
battery_level,1449350031.81,100
battery_level,1449351177.08,99
battery_level,1449353783.33,99
battery_level,1449355565.36,99
battery_level,1449358035.45,98
battery_level,1449360197.09,97
battery_level,1449362139.40,97
battery_level,1449364005.06,97
battery_level,1449365528.91,96
battery_level,1449367502.49,96
battery_level,1449369395.97,96
battery_level,1449371079.30,95
battery_level,1449373086.25,94
battery_level,1449375803.89,94
battery_level,1449375803.89,93
battery_level,1449379349.33,92
